"TaxId","Project_Id","Project_Acc","Sort_By_ProjectType","Sort_By_DataType","Sort_By_Organism","Project_Subtype","Project_Target_Scope","Registration_Date","Project_Name","Project_Title","Project_Description","Organism_Name","Organism_Strain","Organism_Label","Sequencing_Status","Submitter_Organization"
1448497,235502,"PRJNA235502",287060,293373,208915,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0018","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0018","TKK_05MA_0018","missing","Scaffolds","Broad Institute"
1448498,235503,"PRJNA235503",287059,293372,208916,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0020","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0020","TKK_05MA_0020","missing","Scaffolds","Broad Institute"
1448501,235506,"PRJNA235506",287056,293369,208919,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0025","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0025","TKK_05MA_0025","missing","Scaffolds","Broad Institute"
1448502,235507,"PRJNA235507",287055,293368,208920,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0026","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0026","TKK_05MA_0026","missing","Scaffolds","Broad Institute"
1448504,235509,"PRJNA235509",287053,293366,208922,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0031","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0031","TKK_05MA_0031","missing","Scaffolds","Broad Institute"
1448505,235510,"PRJNA235510",287052,293365,208923,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0033","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0033","TKK_05MA_0033","missing","Scaffolds","Broad Institute"
1448506,235511,"PRJNA235511",287051,293364,208924,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0035","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0035","TKK_05MA_0035","missing","Scaffolds","Broad Institute"
1448507,235512,"PRJNA235512",287050,293363,208925,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0036","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0036","TKK_05MA_0036","missing","Scaffolds","Broad Institute"
1448508,235513,"PRJNA235513",287049,293362,208926,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0037","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0037","TKK_05MA_0037","missing","Scaffolds","Broad Institute"
1448509,235514,"PRJNA235514",287048,293361,208927,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0040","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0040","TKK_05MA_0040","missing","Scaffolds","Broad Institute"
1448512,235517,"PRJNA235517",287045,293358,208930,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0044","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0044","TKK_05MA_0044","missing","Scaffolds","Broad Institute"
1448513,235518,"PRJNA235518",287044,293357,208931,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0046","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0046","TKK_05MA_0046","missing","Scaffolds","Broad Institute"
1448514,235519,"PRJNA235519",287043,293356,208932,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0048","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0048","TKK_05MA_0048","missing","Scaffolds","Broad Institute"
1448517,235522,"PRJNA235522",287040,293353,208935,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0052","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0052","TKK_05MA_0052","missing","Scaffolds","Broad Institute"
1448520,235525,"PRJNA235525",287037,293350,208938,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0056","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0056","TKK_05MA_0056","missing","Scaffolds","Broad Institute"
1448521,235526,"PRJNA235526",287036,293349,208939,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_0058","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_0058","TKK_05MA_0058","missing","Scaffolds","Broad Institute"
1448522,235527,"PRJNA235527",287035,293348,208940,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_2005","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_2005","TKK_05MA_2005","missing","Scaffolds","Broad Institute"
1448523,235528,"PRJNA235528",287034,293347,208941,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_2008","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_2008","TKK_05MA_2008","missing","Scaffolds","Broad Institute"
1448524,235529,"PRJNA235529",287033,293346,208942,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05MA_2015","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05MA_2015","TKK_05MA_2015","missing","Scaffolds","Broad Institute"
1448526,235531,"PRJNA235531",287031,293344,208944,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0010","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0010","TKK_05SA_0010","missing","Scaffolds","Broad Institute"
1448528,235533,"PRJNA235533",287029,293342,208946,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0012","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0012","TKK_05SA_0012","missing","Scaffolds","Broad Institute"
1448529,235534,"PRJNA235534",287028,293341,208947,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0014","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0014","TKK_05SA_0014","missing","Scaffolds","Broad Institute"
1448530,235535,"PRJNA235535",287027,293340,208948,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0016","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0016","TKK_05SA_0016","missing","Scaffolds","Broad Institute"
1448531,235536,"PRJNA235536",287026,293339,208949,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0017","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0017","TKK_05SA_0017","missing","Scaffolds","Broad Institute"
1448532,235537,"PRJNA235537",287025,293338,208950,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0018","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0018","TKK_05SA_0018","missing","Scaffolds","Broad Institute"
1448533,235538,"PRJNA235538",287024,293337,208951,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0019","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0019","TKK_05SA_0019","missing","Scaffolds","Broad Institute"
1448535,235540,"PRJNA235540",287022,293335,208953,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0021","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0021","TKK_05SA_0021","missing","Scaffolds","Broad Institute"
1448536,235541,"PRJNA235541",287021,293334,208954,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0023","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0023","TKK_05SA_0023","missing","Scaffolds","Broad Institute"
1448538,235543,"PRJNA235543",287019,293332,208956,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0025","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0025","TKK_05SA_0025","missing","Scaffolds","Broad Institute"
1448540,235545,"PRJNA235545",287017,293330,208958,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0031","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0031","TKK_05SA_0031","missing","Scaffolds","Broad Institute"
1448542,235547,"PRJNA235547",287015,293328,208960,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0036","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0036","TKK_05SA_0036","missing","Scaffolds","Broad Institute"
1448544,235549,"PRJNA235549",287013,293326,208962,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0041","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0041","TKK_05SA_0041","missing","Scaffolds","Broad Institute"
1448545,235550,"PRJNA235550",287012,293325,208963,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0042","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0042","TKK_05SA_0042","missing","Scaffolds","Broad Institute"
1448546,235551,"PRJNA235551",287011,293324,208964,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0043","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0043","TKK_05SA_0043","missing","Scaffolds","Broad Institute"
1448547,235552,"PRJNA235552",287010,293323,208965,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0044","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0044","TKK_05SA_0044","missing","Scaffolds","Broad Institute"
1448548,235553,"PRJNA235553",287009,293322,208966,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0046","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0046","TKK_05SA_0046","missing","Scaffolds","Broad Institute"
1448549,235554,"PRJNA235554",287008,293321,208967,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0047","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0047","TKK_05SA_0047","missing","Scaffolds","Broad Institute"
1448550,235555,"PRJNA235555",287007,293320,208968,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0048","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0048","TKK_05SA_0048","missing","Scaffolds","Broad Institute"
1448551,235556,"PRJNA235556",287006,293319,208969,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0050","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0050","TKK_05SA_0050","missing","Scaffolds","Broad Institute"
1448552,235557,"PRJNA235557",287005,293318,208970,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0052","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0052","TKK_05SA_0052","missing","Scaffolds","Broad Institute"
1448554,235559,"PRJNA235559",287003,293316,208972,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0054","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0054","TKK_05SA_0054","missing","Scaffolds","Broad Institute"
1448555,235560,"PRJNA235560",287002,293315,208973,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0055","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0055","TKK_05SA_0055","missing","Scaffolds","Broad Institute"
1448556,235561,"PRJNA235561",287001,293314,208974,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_05SA_0058","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_05SA_0058","TKK_05SA_0058","missing","Scaffolds","Broad Institute"
1448559,235564,"PRJNA235564",286998,293311,208844,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0074","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0074","TKK_04_0074","missing","Scaffolds","Broad Institute"
1448560,235565,"PRJNA235565",286997,293310,208853,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0085","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0085","TKK_04_0085","missing","Scaffolds","Broad Institute"
1448561,235566,"PRJNA235566",286996,293309,208855,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0089","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0089","TKK_04_0089","missing","Scaffolds","Broad Institute"
1448562,235567,"PRJNA235567",286995,293308,208856,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0090","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0090","TKK_04_0090","missing","Scaffolds","Broad Institute"
1448563,235568,"PRJNA235568",286994,293307,208857,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0094","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0094","TKK_04_0094","missing","Scaffolds","Broad Institute"
1448565,235570,"PRJNA235570",286992,293305,208859,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0096","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0096","TKK_04_0096","missing","Scaffolds","Broad Institute"
1448567,235572,"PRJNA235572",286990,293303,208861,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0098","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0098","TKK_04_0098","missing","Scaffolds","Broad Institute"
1448568,235573,"PRJNA235573",286989,293302,208862,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0099","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0099","TKK_04_0099","missing","Scaffolds","Broad Institute"
1448569,235574,"PRJNA235574",286988,293301,208863,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0103","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0103","TKK_04_0103","missing","Scaffolds","Broad Institute"
1448570,235575,"PRJNA235575",286987,293300,208865,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0105","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0105","TKK_04_0105","missing","Scaffolds","Broad Institute"
1448571,235576,"PRJNA235576",286986,293299,208866,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0106","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0106","TKK_04_0106","missing","Scaffolds","Broad Institute"
1448572,235577,"PRJNA235577",286985,293298,208867,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0107","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0107","TKK_04_0107","missing","Scaffolds","Broad Institute"
1448574,235579,"PRJNA235579",286983,293296,208869,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0109","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0109","TKK_04_0109","missing","Scaffolds","Broad Institute"
1448576,235581,"PRJNA235581",286981,293294,208871,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0113","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0113","TKK_04_0113","missing","Scaffolds","Broad Institute"
1448577,235582,"PRJNA235582",286980,293293,208872,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0114","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0114","TKK_04_0114","missing","Scaffolds","Broad Institute"
1448579,235584,"PRJNA235584",286978,293291,208874,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0117","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0117","TKK_04_0117","missing","Scaffolds","Broad Institute"
1448582,235587,"PRJNA235587",286975,293288,208877,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0120","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0120","TKK_04_0120","missing","Scaffolds","Broad Institute"
1448584,235589,"PRJNA235589",286973,293286,208879,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0122","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0122","TKK_04_0122","missing","Scaffolds","Broad Institute"
1448585,235590,"PRJNA235590",286972,293285,208880,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis TKK_04_0123","TB-ARC - KRITH 2","TB-ARC - KRITH 2","Mycobacterium tuberculosis TKK_04_0123","TKK_04_0123","missing","Scaffolds","Broad Institute"
1448610,235620,"PRJNA235620",286943,293256,207934,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M984","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M984","M984","missing","Scaffolds","Broad Institute"
1448611,235621,"PRJNA235621",286942,293255,207935,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M987","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M987","M987","missing","Scaffolds","Broad Institute"
1448612,235623,"PRJNA235623",286940,293253,207936,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M990","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M990","M990","missing","Scaffolds","Broad Institute"
1448613,235624,"PRJNA235624",286939,293252,207937,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M991","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M991","M991","missing","Scaffolds","Broad Institute"
1448614,235625,"PRJNA235625",286938,293251,207738,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1004","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1004","M1004","missing","Scaffolds","Broad Institute"
1448615,235626,"PRJNA235626",286937,293250,207938,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M992","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M992","M992","missing","Scaffolds","Broad Institute"
1448616,235627,"PRJNA235627",286936,293249,207939,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M995","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M995","M995","missing","Scaffolds","Broad Institute"
1448617,235628,"PRJNA235628",286935,293248,207739,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1007","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1007","M1007","missing","Scaffolds","Broad Institute"
1448618,235629,"PRJNA235629",286934,293247,207740,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1008","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1008","M1008","missing","Scaffolds","Broad Institute"
1448619,235630,"PRJNA235630",286933,293246,207741,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1009","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1009","M1009","missing","Scaffolds","Broad Institute"
1448620,235631,"PRJNA235631",286932,293245,207742,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1010","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1010","M1010","missing","Scaffolds","Broad Institute"
1448621,235632,"PRJNA235632",286931,293244,207744,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1012","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1012","M1012","missing","Scaffolds","Broad Institute"
1448622,235633,"PRJNA235633",286930,293243,207743,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1011","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1011","M1011","missing","Scaffolds","Broad Institute"
1448623,235634,"PRJNA235634",286929,293242,207745,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1017","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1017","M1017","missing","Scaffolds","Broad Institute"
1448624,235635,"PRJNA235635",286928,293241,207746,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1021","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1021","M1021","missing","Scaffolds","Broad Institute"
1448625,235636,"PRJNA235636",286927,293240,207748,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1023","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1023","M1023","missing","Scaffolds","Broad Institute"
1448626,235637,"PRJNA235637",286926,293239,207747,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1022","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1022","M1022","missing","Scaffolds","Broad Institute"
1448627,235638,"PRJNA235638",286925,293238,207749,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1024","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1024","M1024","missing","Scaffolds","Broad Institute"
1448628,235639,"PRJNA235639",286924,293237,207750,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1025","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1025","M1025","missing","Scaffolds","Broad Institute"
1448629,235640,"PRJNA235640",286923,293236,207751,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1026","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1026","M1026","missing","Scaffolds","Broad Institute"
1448632,235643,"PRJNA235643",286920,293233,207754,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1034","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1034","M1034","missing","Scaffolds","Broad Institute"
1448633,235644,"PRJNA235644",286919,293232,207755,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1210","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1210","M1210","missing","Scaffolds","Broad Institute"
1448634,235645,"PRJNA235645",286918,293231,207756,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1212","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1212","M1212","missing","Scaffolds","Broad Institute"
1448635,235646,"PRJNA235646",286917,293230,207757,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1213","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1213","M1213","missing","Scaffolds","Broad Institute"
1448636,235647,"PRJNA235647",286916,293229,207758,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1215","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1215","M1215","missing","Scaffolds","Broad Institute"
1448637,235648,"PRJNA235648",286915,293228,207759,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1221","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1221","M1221","missing","Scaffolds","Broad Institute"
1448638,235649,"PRJNA235649",286914,293227,207760,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1232","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1232","M1232","missing","Scaffolds","Broad Institute"
1448639,235650,"PRJNA235650",286913,293226,207761,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1233","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1233","M1233","missing","Scaffolds","Broad Institute"
1448640,235651,"PRJNA235651",286912,293225,207762,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1236","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1236","M1236","missing","Scaffolds","Broad Institute"
1448641,235652,"PRJNA235652",286911,293224,207763,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1253","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1253","M1253","missing","Scaffolds","Broad Institute"
1448642,235653,"PRJNA235653",286910,293223,207764,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1270","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1270","M1270","missing","Scaffolds","Broad Institute"
1448643,235654,"PRJNA235654",286909,293222,207765,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1271","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1271","M1271","missing","Scaffolds","Broad Institute"
1448644,235655,"PRJNA235655",286908,293221,207767,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1273","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1273","M1273","missing","Scaffolds","Broad Institute"
1448645,235656,"PRJNA235656",286907,293220,207768,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1274","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1274","M1274","missing","Scaffolds","Broad Institute"
1448646,235657,"PRJNA235657",286906,293219,207769,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1283","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1283","M1283","missing","Scaffolds","Broad Institute"
1448647,235658,"PRJNA235658",286905,293218,207766,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1272","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1272","M1272","missing","Scaffolds","Broad Institute"
1448648,235659,"PRJNA235659",286904,293217,207770,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1287","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1287","M1287","missing","Scaffolds","Broad Institute"
1448649,235660,"PRJNA235660",286903,293216,207771,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1288","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1288","M1288","missing","Scaffolds","Broad Institute"
1448650,235661,"PRJNA235661",286902,293215,207772,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis M1292","TB-ARC - India","TB-ARC - India","Mycobacterium tuberculosis M1292","M1292","missing","Scaffolds","Broad Institute"
